4.672998809999999992e+01,2.186424833999999962e+01,2.567760085999999831e+01,2.447763599999999684e+01
4.554628371999999814e+01,2.168756296000000106e+01,2.567760085999999831e+01,2.441950999999999894e+01
4.920133209000000107e+01,2.130687611999999831e+01,3.924456786999999736e+01,2.354762399999999900e+01
5.128506470000000661e+01,2.419996961000000013e+01,2.567760085999999831e+01,2.395450400000000002e+01
4.492852783000000017e+01,2.441951394999999891e+01,3.924456786999999736e+01,2.337324699999999922e+01
5.049922942999999975e+01,2.436093023999999829e+01,2.567760085999999831e+01,2.505889299999999764e+01
4.556893157999999744e+01,2.383827903999999975e+01,3.924456786999999736e+01,2.534952200000000033e+01
4.820990371999999979e+01,3.847977669000000134e+01,2.567996215999999876e+01,2.575640199999999780e+01
4.257941437000000207e+01,3.883664447999999680e+01,2.567760085999999831e+01,2.558202500000000157e+01
4.954523468000000008e+01,3.883516130999999660e+01,5.473785400000000578e+01,2.581452799999999925e+01
3.935634612999999860e+01,2.605794160000000304e+01,1.836608504999999880e+01,3.773030700000000337e+01
3.941952896000000095e+01,2.588733260000000058e+01,1.836608504999999880e+01,3.784655800000000170e+01
3.941246413999999731e+01,2.562678366000000096e+01,1.836608504999999880e+01,3.738155199999999923e+01
3.938915252999999694e+01,3.821937472999999841e+01,1.836608504999999880e+01,3.726530100000000090e+01
3.941800307999999831e+01,2.470919037000000174e+01,1.836608504999999880e+01,3.674216899999999697e+01
4.098268508999999682e+01,3.808083168999999657e+01,3.282606125000000219e+01,3.430088800000000049e+01
4.791927337999999992e+01,3.771497040999999939e+01,2.567760085999999831e+01,2.633765999999999607e+01
4.648156356999999872e+01,3.785440640000000201e+01,2.567760085999999831e+01,2.645391099999999796e+01
4.125130462999999992e+01,3.778838273000000214e+01,2.492052078000000037e+01,3.424276199999999903e+01
4.696256637999999839e+01,3.778860404000000273e+01,2.567760085999999831e+01,2.651203699999999941e+01
4.108677672999999686e+01,3.727728138999999885e+01,2.492052078000000037e+01,3.418463599999999758e+01
4.102408218000000062e+01,3.704881824000000279e+01,2.492052078000000037e+01,3.412650999999999613e+01
5.038919829999999678e+01,2.633754487999999938e+01,4.270906448000000211e+01,2.662828900000000232e+01
4.157431411999999682e+01,2.657188848999999919e+01,2.492052078000000037e+01,3.401025900000000490e+01
4.411629105000000095e+01,3.418463730999999939e+01,2.492052078000000037e+01,3.377775599999999656e+01
4.437200928000000033e+01,3.405284351000000242e+01,2.492052078000000037e+01,3.360337899999999678e+01
4.414628600999999719e+01,3.897614472000000063e+01,2.492052078000000037e+01,3.366150400000000076e+01
