id,actual,predict
1,21.803851,21.86424834
2,21.745726,21.68756296
9,21.28072,21.30687612
13,24.187007,24.19996961
15,24.477636,24.41951395
19,24.361384,24.36093024
29,23.780127,23.83827904
34,38.544067,38.47977669
35,38.718444,38.83664448
37,38.660319,38.83516131
48,26.047031,26.0579416
49,25.93078,25.8873326
54,25.582025,25.62678366
67,38.311564,38.21937473
72,24.768265,24.70919037
77,38.020935,38.08083169
81,37.730307,37.71497041
82,37.96281,37.8544064
83,37.846558,37.78838273
84,37.904684,37.78860404
87,37.265301,37.27728139
91,37.090923,37.04881824
102,26.395786,26.33754488
104,26.512037,26.57188849
107,34.12651,34.18463731
108,34.068385,34.05284351
124,38.950947,38.97614472
129,39.241576,39.2064831
130,29.06957,29.01099055
133,39.415953,39.34164684
134,29.127696,29.18406971
136,39.474079,39.53307581
144,27.732678,27.84892599
146,27.790804,27.84892944
148,10.411204,10.3530792
151,10.236827,10.17865152
159,36.800295,36.83161833
160,9.65557,9.713695
169,36.567792,36.62427732
173,36.509666,36.44868574
180,34.649642,34.59267313
181,36.102786,36.16364898
182,34.707768,34.75838482
183,36.04466,35.98054724
184,34.765894,34.82598585
190,34.940271,34.94195469
197,35.114648,35.07139553
202,35.521528,35.57584873
208,6.109899,6.180795264
209,9.364941,9.357372634
222,8.899935,8.964107365
223,6.22615,6.232594376
224,6.342402,6.400538754
230,6.807408,6.717330827
233,6.981785,6.848052774
234,8.783683,8.723930055
235,6.923659,6.835035289
238,7.214288,6.995146592
240,6.574905,6.581294215
241,6.691156,6.593279052
243,7.33054,7.428640445
244,7.388665,7.442060373
249,7.039911,7.010795057
252,8.667432,8.721086479
253,7.563043,7.576540528
254,7.621168,7.587274468
257,8.434929,8.370003902
258,7.73742,7.620428577
259,7.853671,8.026844509
260,7.795546,7.631768091
263,7.911797,7.972322874
264,8.376803,8.340827326
277,23.024492,23.00249739
281,33.138373,33.19668118
282,21.164468,21.2061722
290,10.818085,10.76002269
291,10.87621,10.934336
292,10.992462,10.93491173
293,20.931965,20.9921713
295,20.873839,20.81573287
300,20.757588,20.70018665
309,19.536947,19.478821
313,19.595073,19.653199
314,19.711324,19.76761082
315,20.001953,20.05993543
316,19.885702,19.943827
319,20.583211,20.64172208
322,20.466959,20.52478243
323,20.408833,20.42968614
325,19.827576,19.76945018
327,20.17633,20.1335175
330,33.080247,33.04129538
338,22.791989,23.79509286
339,12.096851,12.15489933
344,32.615241,32.6739894
349,14.189378,14.24743588
350,18.839438,18.897564
351,32.557115,32.4991104
352,14.30563,14.247504
353,14.073127,14.12804633
354,14.363755,14.48000568
355,14.421881,14.480007
358,14.71251,14.77066771
360,14.654384,14.76956165
362,14.538133,14.59624435
365,32.382738,32.32461232
366,32.440864,32.49882856
367,15.003139,14.94478392
369,15.11939,15.23543608
371,15.293767,15.23689955
372,15.177516,15.23564235
373,15.061264,15.09720876
374,15.351893,15.38244912
380,15.468145,15.44862883
382,15.758773,15.70415286
385,32.266486,32.20421998
392,15.991276,15.96903075
393,32.033983,31.98617716
395,18.665061,18.72318751
396,17.44442,17.48866743
400,16.107528,16.16236297
405,18.606935,18.72312341
415,16.398157,16.5118166
417,16.340031,16.28190334
420,16.456282,16.5144097
425,31.859606,31.91774818
427,17.676923,17.61912396
429,16.688785,16.63065976
433,31.80148,31.91772426
436,31.743355,31.62710302
442,31.685229,31.62710293
459,12.38748,12.34375463
462,31.045846,31.01830108
463,21.978229,21.90022048
472,22.385109,22.44249111
475,30.929594,30.98772022
478,12.678109,12.62223128
479,30.348337,30.40547429
481,13.724372,13.6662461
488,13.491869,13.44415057
499,28.081432,28.13954471
501,30.522714,30.54694305
503,29.360199,29.30343746
506,22.036354,21.88033785
511,26.74454,26.68652952
512,30.871468,30.98772
513,30.813343,30.98749029
520,26.802666,26.8608627
522,28.197684,28.20299068
523,22.09448,21.86494406
528,22.210732,22.152606
530,11.9806,12.03871684
531,27.616426,27.84628339
537,30.755217,30.63895391
539,28.430187,28.48687321
543,30.697091,30.6389127
544,28.604564,28.59009906
545,11.922474,12.0101287
550,27.558301,27.40001126
553,11.166839,11.22051821
565,11.283091,11.26061185
567,12.968737,12.91061261
571,29.883331,29.85706135
573,13.026863,13.08498875
578,11.631845,11.57373928
580,13.259366,13.31253647
583,13.143115,13.08499412
584,21.736132,21.78648336
586,22.302346,22.2513069
588,22.09645,22.04497599
593,21.581709,21.63203437
594,21.530235,21.58602596
596,21.427287,21.45011942
602,21.118443,21.06364282
619,22.971508,23.0156992
620,22.920034,22.86866786
631,20.706651,20.65413131
636,20.243385,20.19420081
638,20.088963,20.03917602
645,19.67717,19.72853666
646,19.986014,19.83846985
650,19.93454,19.83159874
655,19.883066,19.83159241
656,22.405294,22.35382846
664,19.368326,19.31980795
668,19.16243,19.11136946
677,19.059482,19.110956
679,18.956534,18.76177366
691,18.493268,18.5446945
692,18.441794,18.38511599
699,23.949515,23.89804102
705,24.412781,24.42279113
707,24.515729,24.52626366
715,35.942964,36.09967686
717,35.994438,36.07441305
720,35.685594,35.73706839
721,35.840016,35.78933442
729,32.494204,32.51600561
730,32.44273,32.41898531
731,32.751574,32.7860508
736,24.824573,24.8151543
740,25.081943,25.11136171
746,25.390788,25.34788616
750,29.50871,29.54726324
757,25.648158,25.59390424
758,25.699632,25.71214965
759,35.634119,35.4915123
764,35.016431,34.88455452
766,36.354756,36.33444275
768,32.082411,32.08083443
778,34.656113,34.69530992
781,35.582645,35.49520377
783,34.450217,34.50244336
784,34.964957,34.87025655
785,34.810535,34.85610606
787,35.170853,35.13331838
788,35.067905,35.1194146
796,25.854054,25.85212372
802,26.008476,25.95660989
805,26.31732,26.265846
817,33.884002,33.96011481
819,33.935477,33.9589923
825,34.192847,34.24681967
827,34.141373,34.08965428
829,33.781054,33.83248905
839,33.420736,33.4721005
841,31.773567,31.72349085
845,29.971976,30.01827527
854,29.920502,29.93030735
856,31.310301,31.36127393
857,31.516197,31.4658229
858,31.413249,31.46444891
864,30.126398,30.11324363
865,31.207353,31.16922915
868,30.795561,30.82051362
877,30.898509,30.94759765
878,30.435243,30.39104523
884,30.641139,30.68450965
887,6.911611,6.874339119
888,7.117507,7.063044385
891,7.168981,7.166272745
903,10.926585,10.95443764
904,11.132481,11.15107247
911,8.04404,8.14410749
926,7.992566,7.94283673
929,7.735195,7.665821552
937,10.308897,10.30824673
942,10.051527,10.01394017
949,8.249936,8.32662288
952,10.463319,10.56757857
954,10.514793,10.56632051
955,10.411845,10.36265665
956,9.279416,9.330914949
957,10.772163,10.82530932
961,10.720689,10.66920948
962,9.022046,8.959460113
974,9.433838,9.450253811
984,9.742683,9.680923016
986,12.00754,11.956066
987,12.059014,11.99833589
