id,Actual,Predicted
15,24.477636,25.67760086
17,24.41951,25.67760086
22,23.547624,39.24456787
27,23.954504,25.67760086
33,23.373247,39.24456787
40,25.058893,25.67760086
44,25.349522,39.24456787
50,25.756402,25.67996216
54,25.582025,25.67760086
55,25.814528,54.737854
81,37.730307,18.36608505
83,37.846558,18.36608505
86,37.381552,18.36608505
87,37.265301,18.36608505
93,36.742169,18.36608505
97,34.300888,32.82606125
100,26.33766,25.67760086
101,26.453911,25.67760086
103,34.242762,24.92052078
104,26.512037,25.67760086
105,34.184636,24.92052078
107,34.12651,24.92052078
109,26.628289,42.70906448
110,34.010259,24.92052078
114,33.777756,24.92052078
115,33.603379,24.92052078
121,33.661504,24.92052078
122,38.892822,33.859375
124,38.950947,33.859375
125,39.067199,33.859375
126,39.009073,33.859375
131,39.590331,33.859375
132,39.299702,33.859375
133,39.415953,33.859375
139,27.965181,25.67760086
147,10.353079,8.495054245
158,37.032798,18.36608505
159,36.800295,18.36608505
168,36.916546,18.36608505
170,36.393415,18.36608505
177,10.527456,8.495054245
181,36.102786,18.36608505
184,34.765894,32.82606125
196,5.935522,8.495054245
198,5.993647,8.495054245
200,35.289025,18.36608505
203,35.695906,18.36608505
204,35.172774,18.36608505
211,35.63778,18.36608505
212,35.463403,18.36608505
213,9.132438,8.495054245
216,9.539318,8.495054245
224,6.342402,8.495054245
228,9.190564,8.495054245
230,6.807408,8.495054245
232,6.458653,8.495054245
247,8.609306,8.495054245
250,7.504917,8.495054245
252,8.667432,8.495054245
255,8.493055,8.495054245
257,8.434929,8.495054245
260,7.795546,8.495054245
263,7.911797,8.495054245
286,10.759959,8.495054245
288,20.990091,22.95503044
291,10.87621,8.495054245
293,20.931965,22.95503044
294,11.050588,8.495054245
300,20.757588,22.95503044
302,19.478821,8.495054245
305,20.699462,22.95503044
314,19.711324,22.95503044
315,20.001953,22.95503044
318,20.060079,22.95503044
325,19.827576,22.95503044
334,12.038725,8.495054245
342,32.673367,24.92052078
347,12.154977,8.495054245
348,14.247504,8.495054245
356,14.480007,8.495054245
358,14.71251,8.495054245
360,14.654384,8.495054245
367,15.003139,8.495054245
372,15.177516,8.495054245
384,15.816899,8.495054245
385,32.266486,24.92052078
387,18.723187,22.95503044
388,32.208361,24.92052078
389,15.875025,8.495054245
406,17.502546,22.95503044
409,17.967552,22.95503044
418,16.281905,8.495054245
422,18.432558,22.95503044
424,17.618797,22.95503044
433,31.80148,13.0982008
434,16.746911,8.495054245
435,16.805037,8.495054245
441,17.03754,22.95503044
445,17.095666,22.95503044
